*BEGIN_DEBUG_OUTPUT*
83
21,26,149,203,228,248,262,283,314,341,362,381,403,438,511,516,523,527,661,717,765,779,787,809,903,956,967,970,974,991, 5829
21,26,149,203,228,248,262,283,314,341,362,381,403,438,511,516,523,527,661,717,765,779,787,809,903,956,967,970,974,991, 5829
2,7,22,38,79,105,188,195,223,231,268,270,540,558,605,633,637,674,675,683,689,693,759,798,831,836,866,939,941,993, 5829
5,10,36,120,134,155,215,220,327,379,393,398,412,454,478,531,533,645,700,726,780,783,792,851,855,892,942,965,978,994, 5842
17,55,100,120,154,198,210,224,234,260,261,288,429,454,468,500,506,656,660,733,758,786,799,841,845,869,879,917,927,992, 5849
1,47,63,82,131,137,210,237,289,321,356,364,377,479,481,487,505,640,679,708,728,775,777,792,897,899,919,956,962,966, 5850
71,99,119,142,220,222,253,290,291,360,375,393,472,479,497,507,524,528,658,662,690,735,738,814,826,882,904,920,947,976, 5851
42,48,118,123,150,215,227,229,306,330,345,363,365,454,474,492,507,533,536,654,704,717,750,760,840,861,928,934,979,980, 5853
42,48,118,123,150,215,227,229,306,330,345,363,365,454,474,492,507,533,536,654,704,717,750,760,840,861,928,934,979,980, 5853
42,48,118,123,150,215,227,229,306,330,345,363,365,454,474,492,507,533,536,654,704,717,750,760,840,861,928,934,979,980, 5853
42,48,118,123,150,215,227,229,306,330,345,363,365,454,474,492,507,533,536,654,704,717,750,760,840,861,928,934,979,980, 5853
67,172,175,192,219,243,253,261,290,298,358,423,437,456,478,521,523,528,658,722,735,745,794,806,865,874,884,905,953,957, 5855
31,53,85,113,158,159,186,211,250,259,280,361,421,449,472,496,501,672,705,723,728,739,776,817,830,902,922,926,968,994, 5858
33,54,60,105,124,186,216,303,315,349,358,360,372,385,403,428,512,520,735,739,757,778,813,829,850,878,926,930,934,967, 5859
40,67,71,127,133,142,253,312,348,407,412,416,426,459,460,467,486,503,652,693,694,751,789,800,815,859,942,951,974,998, 5860
22,72,80,96,114,194,197,205,251,252,306,323,369,378,422,445,527,671,721,724,728,763,771,820,874,911,930,956,962,976, 5864
13,26,75,76,93,135,136,143,174,181,287,354,409,415,457,483,500,680,682,720,725,745,765,784,806,889,904,930,948,954, 5873
